store_name,store_add1,store_add2,store_city,store_state,store_zip
Canton,41640 Ford Road,,Canton,MI,48187
Twin Cities,8000 IKEA Way,,Bloomington,MN,55425
Charlotte,8300 IKEA Boulevard,,Charlotte,NC,28262
St. Louis,1 IKEA Way,,St. Louis,MO,63108
Baltimore,8352 Honeygo Boulevard,,Baltimore,MD,21236
College Park,10100 Baltimore Avenue,,College Park,MD,20740
Stoughton,One IKEA Way,,Stoughton,MA,02072
Merriam,6000 IKEA Way,,Merriam,KS,66202
Bolingbrook,750 E. Boughton,,Bolingbrook,IL,60440
Schaumburg,1800 East McConner Parkway,,Schaumburg,IL,60173
Atlanta,441 16th Street,,Atlanta,GA,30363
Fishers,11400 IKEA Way,,Fishers,IN,46037
Tampa,1103 N. 22nd Street,,Tampa,FL,33605
Sunrise,151 NW 136th Ave,,Sunrise,FL,33325
Miami,1801 NW 117th Ave,,Sweetwater,FL,33172
Oak Creek,7500 S. IKEA Way,,Oak Creek,WI,53154
Draper,67 West IKEA Way,,Draper,UT,84020
Round Rock,1 IKEA Way,,Round Rock,TX,78665
Renton,601 S.W. 41st Street,,Renton,WA,98057
Houston,7810 Katy Freeway,,Houston,TX,77024
Woodbridge,2900 Potomac Mills Circle,,Woodbridge,VA,22192
Live Oak,1000 IKEA RBFCU Parkway,,Live Oak,TX,78233
Orlando,4092 Eastgate Dr,,Orlando,FL,32839
Frisco,7171 IKEA Drive,,Frisco,TX,75034
Norfolk,1500 IKEA Way,,Norfolk,VA,23502
Pittsburgh,2001 Park Manor Boulevard,,Pittsburgh,PA,15205
Grand Prairie,1000 IKEA Way,,Grand Prairie,TX,75052
Memphis,7900 IKEA Way,,Memphis,TN,38016
Portland,10280 NE Cascades Parkway,,Portland,OR,97220
Columbus,1900 IKEA Way,,Columbus,OH,43240
Brooklyn,1 Beard Street,,Brooklyn,NY,11231
Long Island,1100 Broadway Mall,,Hicksville,NY,11801
South Philadelphia,2206 S. Christopher Columbus Blvd,,Philadelphia,PA,19148
Las Vegas,6500 IKEA Way,,Las Vegas,NV,89148
Conshohocken,400 Alan Wood Road,,Conshohocken,PA,19428
Elizabeth,1000 Center Drive,,Elizabeth,NJ,07201
Paramus,100 IKEA Drive,,Paramus,NJ,07652
West Chester,9500 IKEA Way,,West Chester,OH,45069
Centennial,9800 E. IKEA Way,,Centennial,CO,80112
Jacksonville,7801 Gate Pkwy,,Jacksonville,FL,32256
San Diego,2149 Fenton Parkway,,San Diego,CA,92108
West Sacramento,700 IKEA Court,,West Sacramento,CA,95605
New Haven,450 Sargent Drive,,New Haven,CT,06511
East Palo Alto,1700 East Bayshore Road,,East Palo Alto,CA,94303
Costa Mesa,1475 South Coast Drive,,Costa Mesa,CA,92626
Burbank,600 South IKEA Way,,Burbank,CA,91502
Tempe,2110 West IKEA Way,,Tempe,AZ,85284
Emeryville,4400 Shellmound Street,,Emeryville,CA,94608
Queens,96-05 Queens Blvd,,Queens,NY,11374
Covina,848 South Barranca Avenue,,Covina,CA,91723
Carson,20700 South Avalon Boulevard,,Carson,CA,90746
